datetime;count
2014-02-21T00:00:00.000+0200;19
2014-02-22T00:00:00.000+0200;14
2014-02-23T00:00:00.000+0200;22
2014-02-24T00:00:00.000+0200;144
2014-02-25T00:00:00.000+0200;77
2014-02-26T00:00:00.000+0200;117
2014-02-27T00:00:00.000+0200;179
2014-02-28T00:00:00.000+0200;54
2014-03-01T00:00:00.000+0200;44
2014-03-02T00:00:00.000+0200;14
2014-03-03T00:00:00.000+0200;128
2014-03-04T00:00:00.000+0200;321
2014-03-05T00:00:00.000+0200;372
2014-03-06T00:00:00.000+0200;67
2014-03-07T00:00:00.000+0200;34
2014-03-08T00:00:00.000+0200;8
2014-03-09T00:00:00.000+0200;15
2014-03-10T00:00:00.000+0200;32
2014-03-11T00:00:00.000+0200;99
2014-03-12T00:00:00.000+0200;109
2014-03-13T00:00:00.000+0200;76
2014-03-14T00:00:00.000+0200;113
2014-03-15T00:00:00.000+0200;15
2014-03-16T00:00:00.000+0200;4
2014-03-17T00:00:00.000+0200;73
2014-03-18T00:00:00.000+0200;99
2014-03-19T00:00:00.000+0200;108
2014-03-20T00:00:00.000+0200;35
2014-03-21T00:00:00.000+0200;54
2014-03-22T00:00:00.000+0200;263
2014-03-23T00:00:00.000+0200;154
2014-03-24T00:00:00.000+0200;114
2014-03-25T00:00:00.000+0200;94
2014-03-26T00:00:00.000+0200;43
2014-03-27T00:00:00.000+0200;68
2014-03-28T00:00:00.000+0200;90
2014-03-29T00:00:00.000+0200;7
2014-03-30T00:00:00.000+0200;40
2014-03-31T00:00:00.000+0300;45
2014-04-01T00:00:00.000+0300;36
2014-04-02T00:00:00.000+0300;97
2014-04-03T00:00:00.000+0300;54
2014-04-04T00:00:00.000+0300;42
2014-04-05T00:00:00.000+0300;8
2014-04-06T00:00:00.000+0300;26
2014-04-07T00:00:00.000+0300;56
2014-04-08T00:00:00.000+0300;55
2014-04-09T00:00:00.000+0300;84
2014-04-10T00:00:00.000+0300;26
2014-04-11T00:00:00.000+0300;39
2014-04-12T00:00:00.000+0300;32
2014-04-13T00:00:00.000+0300;15
2014-04-14T00:00:00.000+0300;71
2014-04-15T00:00:00.000+0300;34
2014-04-16T00:00:00.000+0300;16
2014-04-17T00:00:00.000+0300;64
2014-04-18T00:00:00.000+0300;40
2014-04-19T00:00:00.000+0300;0
2014-04-20T00:00:00.000+0300;8
2014-04-21T00:00:00.000+0300;3
2014-04-22T00:00:00.000+0300;61
2014-04-23T00:00:00.000+0300;39
2014-04-24T00:00:00.000+0300;22
2014-04-25T00:00:00.000+0300;4
2014-04-26T00:00:00.000+0300;8
2014-04-27T00:00:00.000+0300;2
2014-04-28T00:00:00.000+0300;8
2014-04-29T00:00:00.000+0300;29
2014-04-30T00:00:00.000+0300;2518
2014-05-01T00:00:00.000+0300;6
2014-05-02T00:00:00.000+0300;48
2014-05-03T00:00:00.000+0300;0
2014-05-04T00:00:00.000+0300;4
2014-05-05T00:00:00.000+0300;145
2014-05-06T00:00:00.000+0300;68
2014-05-07T00:00:00.000+0300;76
2014-05-08T00:00:00.000+0300;792
2014-05-09T00:00:00.000+0300;26
2014-05-10T00:00:00.000+0300;0
2014-05-11T00:00:00.000+0300;7
2014-05-12T00:00:00.000+0300;133
2014-05-13T00:00:00.000+0300;25
2014-05-14T00:00:00.000+0300;126
2014-05-15T00:00:00.000+0300;69
2014-05-16T00:00:00.000+0300;220
2014-05-17T00:00:00.000+0300;8
2014-05-18T00:00:00.000+0300;17
2014-05-19T00:00:00.000+0300;98
2014-05-20T00:00:00.000+0300;104
2014-05-21T00:00:00.000+0300;164
2014-05-22T00:00:00.000+0300;366
2014-05-23T00:00:00.000+0300;100
2014-05-24T00:00:00.000+0300;2
2014-05-25T00:00:00.000+0300;53
2014-05-26T00:00:00.000+0300;34
2014-05-27T00:00:00.000+0300;200
2014-05-28T00:00:00.000+0300;49
2014-05-29T00:00:00.000+0300;64
2014-05-30T00:00:00.000+0300;30
2014-05-31T00:00:00.000+0300;11
2014-06-01T00:00:00.000+0300;11
2014-06-02T00:00:00.000+0300;22
2014-06-03T00:00:00.000+0300;198
2014-06-04T00:00:00.000+0300;40
2014-06-05T00:00:00.000+0300;66
2014-06-06T00:00:00.000+0300;12
2014-06-07T00:00:00.000+0300;2
2014-06-08T00:00:00.000+0300;5
2014-06-09T00:00:00.000+0300;72
2014-06-10T00:00:00.000+0300;115
2014-06-11T00:00:00.000+0300;40
2014-06-12T00:00:00.000+0300;75
2014-06-13T00:00:00.000+0300;42
2014-06-14T00:00:00.000+0300;0
2014-06-15T00:00:00.000+0300;5
2014-06-16T00:00:00.000+0300;68
2014-06-17T00:00:00.000+0300;66
2014-06-18T00:00:00.000+0300;19
2014-06-19T00:00:00.000+0300;28
2014-06-20T00:00:00.000+0300;0
2014-06-21T00:00:00.000+0300;2
2014-06-22T00:00:00.000+0300;11
2014-06-23T00:00:00.000+0300;43
2014-06-24T00:00:00.000+0300;32
2014-06-25T00:00:00.000+0300;58
2014-06-26T00:00:00.000+0300;48
2014-06-27T00:00:00.000+0300;17
2014-06-28T00:00:00.000+0300;6
2014-06-29T00:00:00.000+0300;4
2014-06-30T00:00:00.000+0300;61
2014-07-01T00:00:00.000+0300;58
2014-07-02T00:00:00.000+0300;48
2014-07-03T00:00:00.000+0300;51
2014-07-04T00:00:00.000+0300;46
2014-07-05T00:00:00.000+0300;8
2014-07-06T00:00:00.000+0300;0
2014-07-07T00:00:00.000+0300;119
2014-07-08T00:00:00.000+0300;38
2014-07-09T00:00:00.000+0300;3
2014-07-10T00:00:00.000+0300;31
2014-07-11T00:00:00.000+0300;9
2014-07-12T00:00:00.000+0300;2
2014-07-13T00:00:00.000+0300;0
2014-07-14T00:00:00.000+0300;22
2014-07-15T00:00:00.000+0300;121
2014-07-16T00:00:00.000+0300;10
2014-07-17T00:00:00.000+0300;26
2014-07-18T00:00:00.000+0300;59
2014-07-19T00:00:00.000+0300;1
2014-07-20T00:00:00.000+0300;0
2014-07-21T00:00:00.000+0300;65
2014-07-22T00:00:00.000+0300;164
2014-07-23T00:00:00.000+0300;67
2014-07-24T00:00:00.000+0300;38
2014-07-25T00:00:00.000+0300;46
2014-07-26T00:00:00.000+0300;0
2014-07-27T00:00:00.000+0300;2
2014-07-28T00:00:00.000+0300;92
2014-07-29T00:00:00.000+0300;33
2014-07-30T00:00:00.000+0300;75
2014-07-31T00:00:00.000+0300;135
2014-08-01T00:00:00.000+0300;26
2014-08-02T00:00:00.000+0300;0
2014-08-03T00:00:00.000+0300;38
2014-08-04T00:00:00.000+0300;67
2014-08-05T00:00:00.000+0300;34
2014-08-06T00:00:00.000+0300;42
2014-08-07T00:00:00.000+0300;25
2014-08-08T00:00:00.000+0300;15
2014-08-09T00:00:00.000+0300;3
2014-08-10T00:00:00.000+0300;46
2014-08-11T00:00:00.000+0300;31
2014-08-12T00:00:00.000+0300;90
2014-08-13T00:00:00.000+0300;83
2014-08-14T00:00:00.000+0300;142
2014-08-15T00:00:00.000+0300;111
2014-08-16T00:00:00.000+0300;8
2014-08-17T00:00:00.000+0300;1
2014-08-18T00:00:00.000+0300;127
2014-08-19T00:00:00.000+0300;205
2014-08-20T00:00:00.000+0300;497
2014-08-21T00:00:00.000+0300;107
2014-08-22T00:00:00.000+0300;70
2014-08-23T00:00:00.000+0300;78
2014-08-24T00:00:00.000+0300;10
2014-08-25T00:00:00.000+0300;53
2014-08-26T00:00:00.000+0300;44
2014-08-27T00:00:00.000+0300;30
2014-08-28T00:00:00.000+0300;31
2014-08-29T00:00:00.000+0300;25
2014-08-30T00:00:00.000+0300;0
2014-08-31T00:00:00.000+0300;5
2014-09-01T00:00:00.000+0300;49
2014-09-02T00:00:00.000+0300;80
2014-09-03T00:00:00.000+0300;14
2014-09-04T00:00:00.000+0300;22
2014-09-05T00:00:00.000+0300;48
2014-09-06T00:00:00.000+0300;7
2014-09-07T00:00:00.000+0300;16
2014-09-08T00:00:00.000+0300;72
2014-09-09T00:00:00.000+0300;26
2014-09-10T00:00:00.000+0300;130
2014-09-11T00:00:00.000+0300;93
2014-09-12T00:00:00.000+0300;79
2014-09-13T00:00:00.000+0300;4
2014-09-14T00:00:00.000+0300;4
2014-09-15T00:00:00.000+0300;56
2014-09-16T00:00:00.000+0300;83
2014-09-17T00:00:00.000+0300;3090
2014-09-18T00:00:00.000+0300;53
2014-09-19T00:00:00.000+0300;15
2014-09-20T00:00:00.000+0300;10
2014-09-21T00:00:00.000+0300;46
2014-09-22T00:00:00.000+0300;2050
2014-09-23T00:00:00.000+0300;920
